Left Door Upper Rack,grace@email.com,12,4,14,Meat~5~5~5~25~Meat-Slice of Cake~4~3~4~4~Sweets
Left Door Middle Rack,diana@email.com,12,4,14,None
Left Door Lower Rack,henry@email.com,12,4,14,None
Right Door Upper Rack,bob@email.com,12,4,14,None
Right Door Middle Rack,alice@email.com,12,4,14,Butter~4.22~2.5~1.39~90~Dairy
Right Door Lower Rack,ivy@email.com,12,4,14,None
Upper Shelf,frank@email.com,32,32,14,None
Middle Shelf,eva@email.com,32,32,14,Applesauce~3.7~3.75~5.2~180~Condiment
Lower Shelf,jackie@email.com,32,32,14,None
Lower Freezer,charlie@email.com,32,38,10,None
Upper Freezer,None,32,38,10,None
