alice@email.com,alicetest123,Alice Johnson,None
bob@email.com,bobtest123,Bob Smith,Shellfish
charlie@email.com,charlietest123,Charlie Brown,Peanut
diana@email.com,dianatest123,Diana Miller,Tree Nuts-Peanut
eva@email.com,evatest123,Eva White,None
frank@email.com,franktest123,Frank Davis,None
grace@email.com,gracetest123,Grace Turner,None
henry@email.com,henrytest123,Henry Wilson,Wheat
ivy@email.com,ivytest123,Ivy Green,Milk
jackie@email.com,jackietest123,Jackie Lee,None
chickens@gmail.com,chickens123,Chicken Man,Tomatoes
