Name,Email,Fridge_Space_Location,Items_In_Space,Remaining_Space
Alice Johnson,alice@email.com,Upper Shelf,Milk-Eggs-Butter,2 shelves empty
Bob Smith,bob@email.com,Middle Drawer,Fruits-Vegetables-Cheese,1 drawer half-full
Charlie Brown,charlie@email.com,Lower Shelf,Yogurt-Juice-Leftovers,1 shelf almost full
Diana Miller,diana@email.com,Door Rack,Condiments-Pickles-Salad Dressing,2 slots empty
Eva White,eva@email.com,Crisper Drawer,Apples-Carrots-Celery,1 drawer empty
Frank Davis,frank@email.com,Freezer Top,Ice Cream-Frozen Pizza-Frozen Vegetables,1 compartment full
Grace Turner,grace@email.com,Freezer Bottom,Meat-Fish-Frozen Desserts,1 compartment half-full
Henry Wilson,henry@email.com,Side Door,Beverages-Eggs-Salsa,1 slot empty
Ivy Green,ivy@email.com,Main Compartment,Milk-Eggs-Leftovers,1 shelf empty
Jackie Lee,jackie@email.com,Freezer Middle,Ice Cubes-Frozen Fruits-Frozen Meals,1 compartment almost full

